area,date,generation,avgTa,avgWs,avgRhm,ssDur,sumSsHr,sumGsr,avgTca,PM10,PM25
강원도,2016-06-10,438.40226,22.0,1.4,66.3,14.7,12.3,27.77,0.8,46.90277777777778,25.84722222222222
강원도,2016-06-11,302.704807,24.4,1.6,60.8,14.7,10.5,23.53,0.8,59.31944444444444,35.68055555555556
강원도,2016-06-12,236.520777,24.2,2.4,67.6,14.8,3.5,14.61,0.8,44.22916666666666,27.40277777777778
강원도,2016-06-13,381.792609,18.4,1.7,82.4,14.8,0.0,6.16,0.8,24.73611111111111,12.86111111111111
강원도,2016-06-14,361.027789,18.9,1.4,80.0,14.8,0.1,10.35,0.8,38.19444444444444,22.18287037037037
강원도,2016-06-15,181.834494,19.5,1.1,86.3,14.8,2.5,10.94,0.8,49.18055555555556,27.53935185185185
강원도,2016-06-16,298.309327,22.2,1.9,66.0,14.8,8.6,17.95,0.8,42.44444444444444,22.55555555555556
강원도,2016-06-17,454.814812,26.8,3.8,41.5,14.8,12.3,28.51,0.8,44.68055555555556,27.23611111111111
강원도,2016-06-18,443.284677,26.3,2.3,51.6,14.8,12.0,26.52,0.8,63.708333333333336,39.30555555555556
강원도,2016-06-19,395.316288,20.3,1.6,79.1,14.8,6.2,15.76,0.8,55.34722222222222,34.291666666666664
강원도,2016-06-20,378.642911,21.6,1.5,76.4,14.8,8.5,22.13,0.8,54.41666666666666,33.958333333333336
강원도,2016-06-21,366.3198,21.5,1.4,75.1,14.8,2.1,15.25,0.8,49.54166666666666,30.61111111111111
강원도,2016-06-22,304.187635,20.5,1.2,84.1,14.8,0.2,4.73,0.8,48.81944444444444,29.63888888888889
강원도,2016-06-23,390.051258,23.5,1.3,72.3,14.8,9.8,25.6,0.8,40.66666666666666,21.93055555555556
강원도,2016-06-24,121.707288,19.7,1.5,84.3,14.8,0.2,4.96,0.8,30.88888888888889,16.48611111111111
강원도,2016-06-25,210.165153,22.6,1.9,52.9,14.8,5.9,11.84,0.8,31.416666666666668,15.77777777777778
강원도,2016-06-26,429.034815,24.8,2.4,48.5,14.8,12.6,30.05,0.8,38.61111111111112,19.93055555555556
강원도,2016-06-27,298.937627,24.3,2.0,54.8,14.8,5.7,18.64,0.8,46.23611111111112,24.125
강원도,2016-06-28,409.379583,21.0,1.4,78.4,14.8,6.4,21.88,0.8,46.0,26.95833333333333
강원도,2016-06-29,375.804257,22.1,1.6,74.4,14.8,8.8,20.02,0.8,42.79861111111112,25.13888888888889
강원도,2016-06-30,353.126215,24.1,1.7,71.5,14.7,9.0,23.72,0.8,41.97222222222222,22.34722222222222
강원도,2016-07-01,122.420803,24.4,1.8,71.1,14.7,0.8,10.38,0.8,39.388888888888886,19.20659722222222
강원도,2016-07-02,214.692651,23.9,1.7,69.0,14.7,6.6,18.21,0.8,23.40277777777778,10.77951388888889
강원도,2016-07-03,181.749107,24.8,2.0,64.3,14.7,3.6,12.27,0.8,34.52777777777778,19.6875
강원도,2016-07-04,50.338822,20.2,0.8,88.0,14.7,0.3,2.9,0.8,24.51388888888889,14.78472222222222
강원도,2016-07-05,131.682454,19.6,1.4,88.5,14.7,0.3,5.37,0.8,18.694444444444443,7.791666666666667
강원도,2016-07-06,187.789825,18.4,0.9,86.1,14.7,0.2,6.96,0.8,17.208333333333332,6.847222222222222
강원도,2016-07-07,275.026874,20.3,0.9,81.4,14.7,1.1,10.66,0.8,25.916666666666668,12.180555555555555
강원도,2016-07-08,428.817762,23.8,1.2,75.3,14.7,11.3,27.88,0.8,37.98611111111112,18.40277777777778
강원도,2016-07-09,477.015097,26.3,1.3,65.4,14.6,12.4,29.03,0.8,39.638888888888886,21.25
강원도,2016-07-10,406.941347,26.7,1.8,63.8,14.6,9.1,24.32,0.8,45.75,24.416666666666668
강원도,2016-07-11,406.864706,24.8,1.5,76.4,14.6,9.0,23.34,0.8,50.34722222222222,30.194444444444443
강원도,2016-07-12,142.225716,24.1,1.3,78.9,14.6,1.2,9.93,0.8,53.06944444444444,32.77777777777778
강원도,2016-07-13,355.303094,24.5,1.0,78.8,14.6,7.1,21.9,0.8,38.29861111111112,21.22222222222222
강원도,2016-07-14,252.51636,23.0,1.3,77.9,14.5,1.8,8.1,0.8,26.40277777777778,14.3125
